2016-02-13 22:52:31 INFO  SimpleDataGson:28 - -------Round 1
2016-02-13 22:52:36 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1585839020
2016-02-13 22:52:36 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:52:36 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:52:38 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1861804362
2016-02-13 22:52:38 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:52:40 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1055169779
2016-02-13 22:52:40 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:52:42 INFO  SimpleDataGson:28 - -------Round 2
2016-02-13 22:52:44 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1490347460
2016-02-13 22:52:45 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:52:45 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:52:47 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1916539920
2016-02-13 22:52:47 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:52:49 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1129162257
2016-02-13 22:52:49 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:52:50 INFO  SimpleDataGson:28 - -------Round 3
2016-02-13 22:52:53 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1305021058
2016-02-13 22:52:53 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:52:53 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:52:55 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1462674147
2016-02-13 22:52:55 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:52:57 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 887290384
2016-02-13 22:52:57 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:52:57 INFO  SimpleDataGson:28 - -------Round 4
2016-02-13 22:53:00 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1203500534
2016-02-13 22:53:00 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:00 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:01 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1451261630
2016-02-13 22:53:01 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:03 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 879235582
2016-02-13 22:53:03 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:04 INFO  SimpleDataGson:28 - -------Round 5
2016-02-13 22:53:06 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1230461723
2016-02-13 22:53:07 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:07 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:08 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1412145404
2016-02-13 22:53:08 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:10 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1140904783
2016-02-13 22:53:10 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:11 INFO  SimpleDataGson:28 - -------Round 6
2016-02-13 22:53:13 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1228443779
2016-02-13 22:53:14 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:14 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:15 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1289356331
2016-02-13 22:53:15 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:17 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1152567569
2016-02-13 22:53:17 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:18 INFO  SimpleDataGson:28 - -------Round 7
2016-02-13 22:53:20 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1209992931
2016-02-13 22:53:21 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:21 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:22 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1286039275
2016-02-13 22:53:22 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:24 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1170658409
2016-02-13 22:53:24 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:25 INFO  SimpleDataGson:28 - -------Round 8
2016-02-13 22:53:27 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1196618916
2016-02-13 22:53:28 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:28 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:29 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1466708852
2016-02-13 22:53:29 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:31 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1168917972
2016-02-13 22:53:31 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:32 INFO  SimpleDataGson:28 - -------Round 9
2016-02-13 22:53:34 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1221654533
2016-02-13 22:53:35 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:35 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:36 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1618379162
2016-02-13 22:53:36 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:38 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1154904864
2016-02-13 22:53:38 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:39 INFO  SimpleDataGson:28 - -------Round 10
2016-02-13 22:53:42 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1195265726
2016-02-13 22:53:42 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:42 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:43 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1436078099
2016-02-13 22:53:43 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:45 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1167637809
2016-02-13 22:53:45 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:46 INFO  SimpleDataGson:28 - -------Round 11
2016-02-13 22:53:49 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1185569172
2016-02-13 22:53:49 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:49 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:50 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1516646659
2016-02-13 22:53:50 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:53:52 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1148949718
2016-02-13 22:53:52 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:53:53 INFO  SimpleDataGson:28 - -------Round 12
2016-02-13 22:53:56 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1187248028
2016-02-13 22:53:56 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:53:56 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:53:57 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1448880519
2016-02-13 22:53:57 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:54:00 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1176675926
2016-02-13 22:54:00 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:54:01 INFO  SimpleDataGson:28 - -------Round 13
2016-02-13 22:54:03 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1443600783
2016-02-13 22:54:03 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:54:03 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:54:06 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 2164118644
2016-02-13 22:54:06 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:54:08 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1488725447
2016-02-13 22:54:08 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:54:09 INFO  SimpleDataGson:28 - -------Round 14
2016-02-13 22:54:12 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1435152023
2016-02-13 22:54:12 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:54:12 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:54:14 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1460023030
2016-02-13 22:54:14 INFO  SimpleDataGson:64 - --------------------------------------------------------------------------
2016-02-13 22:54:16 INFO  SimpleDataGson:76 - Generating Actual Object from json Time(ms):: 1178285702
2016-02-13 22:54:16 INFO  SimpleDataGson:77 - --------------------------------------------------------------------------
2016-02-13 22:54:17 INFO  SimpleDataGson:28 - -------Round 15
2016-02-13 22:54:19 INFO  SimpleDataGson:53 - Json Generation Time(ms):: 1180117721
2016-02-13 22:54:19 INFO  SimpleDataGson:30 - Size of Simple content Gson :: 101 MB
2016-02-13 22:54:19 INFO  SimpleDataGson:31 - --------------------------------------------------------------------------
2016-02-13 22:54:21 INFO  SimpleDataGson:63 - Generating Map from json Time(ms):: 1515058200
